title,author,rank,score,view,coins,favorite,reply,danmu,share,like
店里卖898一份的招牌菜，自己在家做，居然只花了…,绵羊料理,1,3006938,2503262,182774,35061,3078,9534,6084,291180
《原神》角色演示-「优菈：闪灼的烛光」,原神,2,2627422,2473591,82268,38570,33272,28401,53464,154201
【郎朗】海 上 东 北 钢 琴 师,_青红造了个白_,2,2375678,1744482,238742,104817,5823,4985,39047,301418
禁 忌 女 孩 我 不 更 了！,我是影Sir,4,2231527,1949335,74270,18197,5298,3297,6969,186835
超级变变变,设计师深海,5,2131843,1297760,48405,30526,1103,706,1101,175602
【罗翔】十年脑血栓是什么意思？问出这种问题的同学是勤于思考啊！读评论#8,罗翔说刑法,5,2068471,1779820,37652,12071,4648,10150,2782,197712
暴哭预警！刀刀致命！编剧你没有心！开年口碑最炸《窥探》18-19,小片片说大片,6,2013915,1286341,88271,18573,3939,14855,2816,150562
【凤凰传奇翻唱《好运来》】快进来许愿！曾毅超燃rap带你好运爆不完！,梦幻西游网页版,8,1948418,1441134,76538,49395,2623,15862,14468,97456
凤凰传奇来报道，跟B站的小伙伴们打个迟到的招呼，大家好，爱你们哟~,凤凰传奇,1,1928799,1392516,178560,38393,15067,3987,4221,332553
年度最拉胯烂剧？我从来没见过这么炸裂的演技！【遇龙】,三代鹿人,10,1847914,1669884,28600,9393,6321,19560,7161,168457
【涌潮悲歌】献给斯卡蒂的《海底》（凤凰传奇版/填词）【明日方舟】,阿萨Aza,6,1817663,921006,93873,63587,5588,2004,12350,106404
2008年北京奥运会开幕式,北京2022年冬奥会,12,1785135,822640,54813,49453,3776,24381,4762,80188
这不比拉拉队好看？（不是）,清蒸鲤鱼不如你,8,1778878,2028615,24679,56460,3368,3940,31237,180796
苏联解体的秘密，就藏在5盒鲱鱼罐头里【乌鸦校尉】,乌鸦校尉CaptainWuya,14,1759041,632738,90999,40066,2232,15517,12001,85210
男生超会穿衣服是一种怎样的体验！,Always-Kid,13,1745538,1397490,10820,60893,2686,1545,10695,94190
四川网警详解：境外势力如何介入中学生自杀事件？,共青团中央,16,1628270,1176818,21343,14966,6279,1572,17631,122690
建议改成《自 取 其 辱》,一马平川的妥妥,15,1516347,2379394,24136,10684,2380,4000,1789,100137
人都傻了！这片上来就是皇帝自宫！【阅片无数Ⅱ 03】,凉风Kaze,18,1413984,819344,23533,8616,2134,6817,1304,118200
这个世界，绝对不会毁灭的！,古呀老师,17,1404436,577469,62289,14093,2221,2701,3784,81302
测评嘎子卖9.9的皇家葡萄酒！,胖家军-陈胖胖,19,1389942,1436784,26242,5691,4773,10239,2309,103458
